gluinoMass,tau,neutralinoMass,quarkDecay,n_signal,n_background,background_uncertainty,n_observed
1000,0.1,100,uds,10,1,0.1,1
1000,0.1,100,ttbar,10,1,0.1,1
1000,0.3,100,uds,10,1,0.1,1
1000,0.3,100,ttbar,10,1,0.1,1
1000,1,100,uds,10,1,0.1,1
1000,1,100,ttbar,10,1,0.1,1
1000,3,100,uds,10,1,0.1,1
1000,3,100,ttbar,10,1,0.1,1
1000,10,100,uds,10,1,0.1,1
1000,10,100,ttbar,10,1,0.1,1
1000,30,100,uds,10,1,0.1,1
1000,30,100,ttbar,10,1,0.1,1
1000,0.1,900,uds,10,1,0.1,1
1000,0.1,900,ttbar,10,1,0.1,1
1000,0.3,900,uds,10,1,0.1,1
1000,0.3,900,ttbar,10,1,0.1,1
1000,1,900,uds,10,1,0.1,1
1000,1,900,ttbar,10,1,0.1,1
1000,3,900,uds,10,1,0.1,1
1000,3,900,ttbar,10,1,0.1,1
1000,10,900,uds,10,1,0.1,1
1000,10,900,ttbar,10,1,0.1,1
1000,30,900,uds,10,1,0.1,1
1000,30,900,ttbar,10,1,0.1,1
1200,0.1,100,uds,10,1,0.1,1
1200,0.1,100,ttbar,10,1,0.1,1
1200,0.3,100,uds,10,1,0.1,1
1200,0.3,100,ttbar,10,1,0.1,1
1200,1,100,uds,10,1,0.1,1
1200,1,100,ttbar,10,1,0.1,1
1200,3,100,uds,10,1,0.1,1
1200,3,100,ttbar,10,1,0.1,1
1200,10,100,uds,10,1,0.1,1
1200,10,100,ttbar,10,1,0.1,1
1200,30,100,uds,10,1,0.1,1
1200,30,100,ttbar,10,1,0.1,1
1200,0.1,1100,uds,10,1,0.1,1
1200,0.1,1100,ttbar,10,1,0.1,1
1200,0.3,1100,uds,10,1,0.1,1
1200,0.3,1100,ttbar,10,1,0.1,1
1200,1,1100,uds,10,1,0.1,1
1200,1,1100,ttbar,10,1,0.1,1
1200,3,1100,uds,10,1,0.1,1
1200,3,1100,ttbar,10,1,0.1,1
1200,10,1100,uds,10,1,0.1,1
1200,10,1100,ttbar,10,1,0.1,1
1200,30,1100,uds,10,1,0.1,1
1200,30,1100,ttbar,10,1,0.1,1
1400,0.3,100,uds,10,1,0.1,1
1400,0.3,100,ttbar,10,1,0.1,1
1400,1,100,uds,10,1,0.1,1
1400,1,100,ttbar,10,1,0.1,1
1400,3,100,uds,10,1,0.1,1
1400,3,100,ttbar,10,1,0.1,1
1400,10,100,uds,10,1,0.1,1
1400,10,100,ttbar,10,1,0.1,1
1400,30,100,uds,10,1,0.1,1
1400,30,100,ttbar,10,1,0.1,1
1400,0.3,1300,uds,10,1,0.1,1
1400,0.3,1300,ttbar,10,1,0.1,1
1400,1,1300,uds,10,1,0.1,1
1400,1,1300,ttbar,10,1,0.1,1
1400,3,1300,uds,10,1,0.1,1
1400,3,1300,ttbar,10,1,0.1,1
1400,10,1300,uds,10,1,0.1,1
1400,10,1300,ttbar,10,1,0.1,1
1400,30,1300,uds,10,1,0.1,1
1400,30,1300,ttbar,10,1,0.1,1
1600,0.3,100,uds,10,1,0.1,1
1600,0.3,100,ttbar,10,1,0.1,1
1600,1,100,uds,10,1,0.1,1
1600,1,100,ttbar,10,1,0.1,1
1600,3,100,uds,10,1,0.1,1
1600,3,100,ttbar,10,1,0.1,1
1600,10,100,uds,10,1,0.1,1
1600,10,100,ttbar,10,1,0.1,1
1600,30,100,uds,10,1,0.1,1
1600,30,100,ttbar,10,1,0.1,1
1600,0.3,1500,uds,10,1,0.1,1
1600,0.3,1500,ttbar,10,1,0.1,1
1600,1,1500,uds,10,1,0.1,1
1600,1,1500,ttbar,10,1,0.1,1
1600,3,1500,uds,10,1,0.1,1
1600,3,1500,ttbar,10,1,0.1,1
1600,10,1500,uds,10,1,0.1,1
1600,10,1500,ttbar,10,1,0.1,1
1600,30,1500,uds,10,1,0.1,1
1600,30,1500,ttbar,10,1,0.1,1
